video_id,title,description,published_at,views,likes,comments,channel
qRp4AepVjl4,Understanding CORS,,2025-10-11T15:31:34Z,51260,1998,50,competitor_1
oIx7ObcfdlU,My Current Tech Stack,"Lets talk about the tech stack I am using for projects today.

Projects mentioned: 
- https://webutils.io
- https://www.devsheets.io
- https://apimocker.com
- https://apiprobe.dev

Traversy Media courses: https://www.traversymedia.com",2025-09-09T13:06:56Z,69414,3667,247,competitor_1
NaIIqJaF4hM,package-lock.json file explained,,2025-08-29T13:00:49Z,73511,2559,73,competitor_1
1tF-vTlJ3xg,This is what I've been working on,"Promo Code: REACTNOW
https://modernreactcourse.com

Udemy:
https://www.udemy.com/course/modern-react-from-the-beginning/?couponCode=REACTNOW",2025-07-14T15:04:31Z,45219,2672,283,competitor_1
NKiTlo_dgb8,NextJS + Postgres and Error Monitoring  - Full Stack Support Ticketing System,"In this project, we will create a support ticket system with Next.js, Neon PostgreSQL, Prisma and we will implement error tracking and logging with Sentry.

Sentry:
https://sentry.io/signup/??utm_source=traversy&code=traversy

Neon:
https://fyi.neon.tech/2tm

Code:
https://github.com/bradtraversy/quick-ticket

Timestamps:
0:00 - Intro
3:24 - Project Plan (Slides)
8:33 - Next.js App Setup
12:18 - Sentry Setup
15:30 - Sentry Example
20:21 - Neon PostgreSQL Setup
21:40 - Prisma Initiliazation
23:00 - Ticket Model
25:10 - Prisma Migration & Generate Client
26:51 - Prisma Studio
27:23 - Git Init
28:27 - Welcome Page
32:30 - New Ticket Page
34:20 - Start New Ticket Action
38:30 - useActionState Hook
41:31 - Form  Validation & Sentry Logging
45:50 - Sentry Log Level
47:00 - Capture Exceptions
50:20 - Global Prisma Instance
54:00 - Sentry addBreadcrumb
55:40 - Test New Ticket Functionality
56:47 - Sentry Helper Function
1:05:34 - Redirect On Submit
1:08:15 - Sonner Notifications
1:11:00 - Custom Ticket Form Component
1:13:59 - Get Tickets Action
1:16:10 - Show Tickets
1:23:12 - Priority Colors
1:25:50 - Get Single Ticket Action
1:28:30 - Ticket Details Page
1:34:43 - Navbar
1:37:25 - Start Custom Authorization
1:38:40 - User Model & Ticket Relation
1:44:00 - JWT Explanation
1:46:11 - Authentication Flow
1:48:58 - Create Main Auth File
1:50:58 - signAuthToken Function
1:53:47 - verifyAuthToken Function
1:56:40 - setAuthCookie Function
1:59:54 - getAuthCookie Function
2:01:01 - removeAuthCookie Function
2:02:30 - Register Users
2:14:40 - Register Page & Form Hook Up
2:20:40 - Get Current User 
2:25:15 - Conditional Nav Links
2:27:15 - Logout User
2:35:00 - Login Page & Action
2:48:30 - Check Sentry Logs
2:51:00 - Ticket Authorization & Access Control
2:58:57 -TicketItem Component
3:01:55 - Close Ticket
3:16:25 - Disable Closed Tickets",2025-05-13T13:00:39Z,37396,1333,77,competitor_1
VR3p7almo_c,"Build & Deploy An AI-Powered Chat App | Vue, Node, TypeScript,  Open AI, Stream & Neon Database","In this project, we will build a full stack app that works similar to ChatGPT and answers prompts and keeps the context throughout the conversation. We will use Vue.js with Pinia for state management, Node and Express on the backend with TypeScript. Stream for the chat featrues and a Neon PostgreSQL database to store users and chat logs.

Stream Chat:
https://getstream.io/chat/sdk/react/?utm_source=youtube&utm_medium=referral&utm_content=&utm_campaign=traversymedia

Neon Database:
https://fyi.neon.tech/1traversy

Code (Node/Express Backend):
https://github.com/bradtraversy/chat-ai-api

Code (Vue.js Frontend):
https://github.com/bradtraversy/chat-ai-ui

Timestamps:
0:00 - Intro
2:43 - Documentation URLs
4:13 - Backend Init & Install Dependencies
7:56 - Backend TypeScript Config
10:03 - Express Server Setup
13:35 - /register-user Endpoint Setup
17:37 - Initialize Stream With API Keys
21:17 - Register User With Stream Chat
27:41 - /chat Endpoint & Open AI Init
42:49 - Neon PostgreSQL Database Setup
46:00 - Database Config & Neon Adapter
48:46 - Drizzle Schema
54:26 - Drizzle Config
57:31 - Database Migration
59:11 - Save Users In Neon PostgreSQL
1:04:58 - Save Chats In Neon PostgreSQL
1:09:38 - Get User Chat History
1:15:22 - Frontend Init & Install Dependencies
1:19:21 - TailwindCSS Setup & Clean Up
1:22:02 - Router & Page Setup
1:27:54 - Home Form Display
1:31:52 - Reactive Variables & Input Bind
1:37:24 - Pinia Initialization
1:39:19 - Pinia User Store
1:42:57 - Hook Up Home Form
1:50:02 - Header & Leave Chat/Logout
1:57:20 - Pinia Chat Store
2:01:45 - Load Chat History Function/Request
2:08:42 - Load Chat Into UI
2:17:50 - Send Message Function/Request
2:22:21 - Send Message Form
2:29:32 - Get Context Of Chat
2:37:37 - Format Output Text
2:40:52 - Backend API Deploy To Render
2:43:55 - Frontend Deploy To Vercel",2025-04-01T15:40:29Z,31328,1051,91,competitor_1
V0P3Opf-zUs,"TTS & Translate App | Serverless Functions, Google Translate & Web Speech API","We will build a JavaScript web app that takes in some text and does TTS as well as the option to select a language to translate to. We will use the Vercel CLI and a serverless function fot the translation and API KEY security. Tailwind CSS for styling.

Final Code:
https://github.com/bradtraversy/tts-translate

For more Vanilla JS projects, check out these courses:

20 Vanilla JS Projects:
https://www.traversymedia.com/20-Vanilla-JavaScript-Projects

Modern JS From the Beginning:
https://www.traversymedia.com/modern-javascript-2-0

50 Projects In 50 Days:
https://www.traversymedia.com/50-Projects-In-50-Days

Timestamps:
0:00 - Intro
2:22 - Project Structure
4:38 - HTML & Tailwind Classes
8:32 - Web Speech API & TTS
11:10 - Get Voices
16:20 - Language Selection
20:06 - Google Translate API Key Setup
21:29 - Vercel CLI Setup
23:57 - Creating a Serverless Function
26:57 - dotenv Setup
29:22 - Google Translate API Request
32:58 - Test Function With Postman
34:18 - Make Request To Serverless Function Endpoint
38:39 - Translate Text & Play TTS
43:21 - Deploy To Vercel",2025-01-20T15:00:40Z,18321,716,38,competitor_1
vA5TTz6BXhY,Git & GitHub Crash Course 2025,"This is a crash course to learn the fundamentals of Git version control and the Github platform. Learn all of the core commands and the workflow to start learning Git.

Sample Project Files:
https://drive.google.com/file/d/1Lv7MtTuZa04p_wGNhYcrKD6TlGqXyBrc/view?usp=sharing

Markdown Crash Course:
https://www.youtube.com/watch?v=HUBNt18RFbo

👇 Website & Courses:
https://traversymedia.com

💖  Show Support
Patreon: https://www.patreon.com/traversymedia
PayPal: https://paypal.me/traversymedia

👇 Follow Me On Social Media:
Twitter: https://twitter.com/traversymedia
Instagram: https://www.instagram.com/traversymedia
Linkedin: https://www.linkedin.com/in/bradtraversy

Timestamps:

0:00 - Intro
1:08 - What Is Git? (Slides)
4:35 - What Is GitHub?
7:36 - Git Workflow Overview
11:25 - Installation & Config
13:20 - Sample Project Files
14:49 - git init
16:17 - git status
16:30 - git add
17:25 - git commit
18:10 - Making Changes
19:10 - git log
19:56 - Create A Github Repo
21:50 - git remote
22:48 - git push
23:30 - Readme File
25:10 - git pull
25:45 - .gitignore File
27:31 - Commit Shortcuts
29:30 - GIthub Interface Basics
34:00 - SSH Keys
38:00 - git clone
39:00 - Branching
42:14 - Pull Requests
45:09 - Merging
46:12 - CI/CD Pipeline With Vercel",2025-01-13T15:01:15Z,243361,7903,259,competitor_1
ui0PmJtKGhQ,Build A Tesla Car Configurator | Tailwind & Vanilla JavaScript,"Build a Tesla Model Y Configurator interface using nothing but HTML, Tailwind CSS and JavaScript. 

Code:
https://github.com/bradtraversy/tesla-configurator-vanilla-js

Codepen:
https://codepen.io/bradtraversy/pen/jOgaRQg

My Courses:
https://traversymedia.com

Timestamps:

0:00 - Intro
4:03 - Create Files
5:40 - Base HTML
7:08 - Top Bar & Header
10:21 - Main Layout
13:10 - Image Section
15:46 - Start Sidebar
16:28 - Exterior Buttons
20:23 - Interior Buttons
23:30 - Wheel Options
25:38 - Full Self Driving
27:36 - Performance Upgrade
29:00 - Accessories & Pricing
33:00 - JavaScript Start - Top Bar Animation
38:07 - Color Buttons Select Border
44:38 - Image Map Object
47:36 - Change Image On Color Select
50:17 - Wheel Selection
56:04 - Refactor To Keep Selected Color
1:02:34 - Performance Button Select
1:05:14 - updateTotalPrice Function
1:09:22 - Add Wheel Price
1:10:43 - Add Performance Upgrade Price
1:12:37 - Full Self-Driving Price
1:16:43 - Accessories Price
1:21:55 - Payment Breakdown Calculation",2024-10-29T14:41:08Z,31110,1198,68,competitor_1
XMu46BRPLqA,Ultimate Guide To Web Scraping - Node.js & Python (Puppeteer & Beautiful Soup),"In this guide you will learn all about web scraping. We will go through some slides and then scrape a website using Node.js and the Puppeteer library as well as Python and the Beautiful Soup library.

Check Out Our Sponsor: Bright Data @BrightData 
https://brdta.com/traversy

Code:
https://github.com/bradtraversy/web-scraper-youtube

Timestamps:
0:00 - Intro
2:01 - What Is Web Scraping?
2:58 - Legal & Ethical Considerations
3:42 - History Of Web Scraping
4:41 - Why Use Web Scraping?
5:53 - How Do Scrapers Work?
6:57 - Tools & Libraries
8:32 - Basic Steps
10:28 - Additional Steps
12:15 - What Are We Scraping?
15:03 - Node.js Web Scraper
33:44 - Python Web Scraper",2024-08-13T14:00:28Z,46961,1606,85,competitor_1
MQ00BUttqr0,15 Myths & Misconceptions In Web Developement,"In this video, we will discuss some common myths that surround web development.

Check Out My Courses:
https://traversymedia.com

Timestamps:
0:00 - Intro
1:01 - #1 One & Done
2:00 - #2 You Need To Learn Everything
2:34 - #3 You Need a Degree
3:37 - #4 Web Development is Easy
4:51 - #5 Front & Backend Are Completely Separate
6:09 - #6 Web Development Is Dead
7:23 - #7 Web Dev Is Just About Writing Code
8:16 - #8 Wordpress Developers Are Not Real Developers
9:45 - #9 You Need A Fancy Design
11:09 - #10 The More Features, The Better
11:46 - #11 You Need A Team
12:38 - #12 Not All Websites Need To Be Responsive
13:37 - #13 Websites Need To Be Perfect Before Launch
14:44 - #14 SEO Is Only About Keywords
15:35 - #15 You Always Need The Latest Technologies",2024-08-01T13:41:08Z,26436,1309,58,competitor_1
